num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; A-C; 7/9/2022; 14:23:3; 0; 600; 0; 0; 0; 0; 1013.21; 23.64; 48.35; 0.30
2; A-C; 7/9/2022; 14:33:11; 600; 600; 8323; 100440; 5937; 966; 1013.21; 23.64; 48.35; 0.30
3; A-B; 7/9/2022; 14:47:11; 1439; 600; 7519; 95040; 5321; 12; 1013.11; 24.21; 47.56; 1.13
4; C-B; 7/9/2022; 14:59:20; 2168; 600; 7130; 87408; 4878; 994; 1013.08; 24.38; 46.84; 1.43
5; A-B; 7/9/2022; 15:9:49; 2797; 600; 6973; 83840; 4850; 807; 1013.08; 24.38; 46.84; 1.43
6; A-B; 7/9/2022; 15:21:35; 3503; 600; 7253; 101175; 4720; 786; 1013.15; 24.40; 45.52; 0.86
7; C-B; 7/9/2022; 15:43:37; 4826; 600; 6581; 103408; 4675; 1068; 1013.07; 24.37; 44.15; 1.47
8; A-C; 7/9/2022; 15:53:44; 5433; 600; 6348; 103882; 4648; 961; 1013.11; 24.32; 43.26; 1.17
