num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; A-C; 14/9/2022; 13:53:50; 0; 600; 0; 1; 0; 0; 997.61; 21.83; 44.44; 131.07
2; A-C; 14/9/2022; 14:3:59; 600; 600; 11239; 130178; 7359; 116; 997.61; 21.83; 44.44; 131.07
3; A-C; 14/9/2022; 14:14:50; 1251; 600; 10254; 112180; 6289; 111; 997.65; 23.48; 40.74; 130.73
4; A-C; 14/9/2022; 14:25:36; 1897; 600; 9493; 106867; 5877; 73; 997.65; 23.48; 40.74; 130.73
5; A-C; 14/9/2022; 14:36:9; 2530; 600; 8755; 102869; 5625; 57; 997.32; 23.95; 39.70; 133.47
6; A-C; 14/9/2022; 14:46:46; 3167; 600; 8342; 100584; 5187; 25; 997.13; 24.12; 39.46; 135.04
7; A-C; 14/9/2022; 14:57:11; 3792; 600; 8011; 99654; 4947; 10; 997.13; 24.12; 39.46; 135.04
8; A-C; 14/9/2022; 15:7:34; 4415; 600; 7610; 98275; 5014; 3; 997.15; 24.19; 38.30; 134.95
