num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; A-C; 21/9/2022; 13:48:58; 0; 600; 0; 0; 0; 0; 1021.39; 18.19; 37.61; -67.58
2; A-C; 21/9/2022; 13:59:6; 600; 600; 13755; 145634; 8067; 195; 1021.39; 18.19; 37.61; -67.58
