num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; A-C; 21/9/2022; 14:18:10; 0; 600; 0; 0; 0; 0; 1022.10; 20.12; 38.56; -73.41
2; A-C; 21/9/2022; 14:28:19; 600; 600; 14119; 132340; 7420; 147; 1022.10; 20.12; 38.56; -73.41
3; A-C; 21/9/2022; 14:39:30; 1272; 600; 12167; 116576; 6292; 121; 1022.12; 22.32; 32.36; -73.55
4; A-C; 21/9/2022; 14:58:20; 2401; 600; 10628; 108971; 5748; 95; 1021.96; 23.11; 31.66; -72.25
5; A-C; 21/9/2022; 15:11:11; 3173; 600; 9695; 106108; 5483; 57; 1021.90; 23.52; 31.14; -71.74
6; A-C; 21/9/2022; 15:22:53; 3874; 600; 9097; 104190; 5416; 25; 1021.90; 23.52; 31.14; -71.74
7; A-C; 21/9/2022; 15:38:12; 4793; 600; 8542; 102668; 4877; 19; 1021.77; 23.72; 30.99; -70.66
8; A-C; 21/9/2022; 15:53:48; 5730; 600; 8173; 101945; 4963; 2; 1021.60; 23.83; 30.67; -69.33
