num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; A-C; 14/9/2022; 15:50:20; 0; 600; 0; 0; 0; 0; 995.13; 24.37; 39.01; 152.00
2; A-C; 14/9/2022; 16:0:28; 600; 600; 8309; 103430; 6398; 119; 995.13; 24.37; 39.01; 152.00
