num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; A-C; 14/9/2022; 16:5:58; 0; 600; 0; 1; 0; 0; 994.16; 24.32; 39.10; 160.16
2; A-C; 14/9/2022; 16:16:8; 601; 600; 8311; 101449; 6402; 133; 994.16; 24.32; 39.10; 160.16
